,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
346,26285,AC Milan,Olivier Giroud,34,Centre-Forward,Chelsea,€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
347,26286,AC Milan,Pietro Pellegri,20,Centre-Forward,Monaco,Loan fee:€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
348,26287,AC Milan,Alessandro Florenzi,30,Right-Back,AS Roma,Loan fee:€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
349,26310,Atalanta BC,Juan Musso,27,Goalkeeper,Udinese Calcio,€20.50m,in,Summer,20.5,Serie A,2021,2021/2022,154
350,26311,Atalanta BC,Cristian Romero,23,Centre-Back,Juventus,€17.00m,in,Summer,17,Serie A,2021,2021/2022,152
351,26312,Atalanta BC,Teun Koopmeiners,23,Defensive Midfield,AZ Alkmaar,€14.00m,in,Summer,14,Serie A,2021,2021/2022,146
352,26313,Atalanta BC,Matteo Lovato,21,Centre-Back,Hellas Verona,€8.00m,in,Summer,8,Serie A,2021,2021/2022,137
353,26314,Atalanta BC,Davide Zappacosta,29,Right-Back,Chelsea,€6.00m,in,Summer,6,Serie A,2021,2021/2022,125
354,26375,Juventus FC,Weston McKennie,22,Central Midfield,FC Schalke 04,€20.50m,in,Summer,20.5,Serie A,2021,2021/2022,154
355,26376,Juventus FC,Moise Kean,21,Centre-Forward,Everton,Loan fee:€7.00m,in,Summer,7,Serie A,2021,2021/2022,133
356,26377,Juventus FC,Mohamed Ihattaren,19,Attacking Midfield,PSV Eindhoven,€1.90m,in,Summer,1.9,Serie A,2021,2021/2022,70
357,26378,Juventus FC,Kaio Jorge,19,Centre-Forward,Santos FC,€1.50m,in,Summer,1.5,Serie A,2021,2021/2022,62
358,26391,SSC Napoli,Matteo Politano,27,Right Winger,Inter,€21.00m,in,Summer,21,Serie A,2021,2021/2022,156
359,26392,SSC Napoli,André Zambo Anguissa,25,Defensive Midfield,Fulham,Loan fee:€600Th.,in,Summer,0.6,Serie A,2021,2021/2022,39
360,26417,SS Lazio,Toma Basic,24,Central Midfield,G. Bordeaux,€7.10m,in,Summer,7.1,Serie A,2021,2021/2022,135
361,26418,SS Lazio,Dimitrije Kamenovic,20,Left-Back,Cukaricki,€3.00m,in,Summer,3,Serie A,2021,2021/2022,90
362,26419,SS Lazio,Felipe Anderson,28,Right Winger,West Ham,€3.00m,in,Summer,3,Serie A,2021,2021/2022,90
363,26420,SS Lazio,Luka Romero,16,Right Winger,RCD Mallorca B,€200Th.,in,Summer,0.2,Serie A,2021,2021/2022,6
364,26421,SS Lazio,Mattia Zaccagni,26,Attacking Midfield,Hellas Verona,Loan fee:€200Th.,in,Summer,0.2,Serie A,2021,2021/2022,6
365,26447,AS Roma,Tammy Abraham,23,Centre-Forward,Chelsea,€40.00m,in,Summer,40,Serie A,2021,2021/2022,160
366,26448,AS Roma,Marash Kumbulla,21,Centre-Back,Hellas Verona,€26.50m,in,Summer,26.5,Serie A,2021,2021/2022,158
367,26449,AS Roma,Eldor Shomurodov,26,Centre-Forward,Genoa,€18.00m,in,Summer,18,Serie A,2021,2021/2022,153
368,26450,AS Roma,Matías Viña,23,Left-Back,Palmeiras,€13.00m,in,Summer,13,Serie A,2021,2021/2022,143
369,26451,AS Roma,Rui Patrício,33,Goalkeeper,Wolves,€11.80m,in,Summer,11.8,Serie A,2021,2021/2022,142
370,26452,AS Roma,Roger Ibañez,22,Centre-Back,Atalanta BC,€9.00m,in,Summer,9,Serie A,2021,2021/2022,140
371,26453,AS Roma,Bryan Reynolds,20,Right-Back,Dallas,€6.75m,in,Summer,6.75,Serie A,2021,2021/2022,131
372,26493,US Sassuolo,Hamed Junior Traorè,21,Attacking Midfield,FC Empoli,€16.00m,in,Summer,16,Serie A,2021,2021/2022,150
373,26494,US Sassuolo,Ruan Tressoldi,22,Centre-Back,Grêmio,€5.00m,in,Summer,5,Serie A,2021,2021/2022,113
374,26495,US Sassuolo,Matheus Henrique,23,Central Midfield,Grêmio,Loan fee:€4.00m,in,Summer,4,Serie A,2021,2021/2022,108
375,26496,US Sassuolo,Jeremy Toljan,26,Right-Back,Bor. Dortmund,€3.50m,in,Summer,3.5,Serie A,2021,2021/2022,101
376,26497,US Sassuolo,Martin Erlic,23,Centre-Back,Spezia Calcio,€3.50m,in,Summer,3.5,Serie A,2021,2021/2022,101
377,26498,US Sassuolo,Maxime López,23,Defensive Midfield,Marseille,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
378,26499,US Sassuolo,Abdou Harroui,23,Central Midfield,Sparta R.,Loan fee:€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
379,26500,US Sassuolo,Pietro Cianci,25,Centre-Forward,Teramo,€150Th.,in,Summer,0.15,Serie A,2021,2021/2022,4
380,26541,UC Sampdoria,Antonino La Gumina,25,Centre-Forward,FC Empoli,€5.50m,in,Summer,5.5,Serie A,2021,2021/2022,119
381,26542,UC Sampdoria,Ernesto Torregrossa,29,Centre-Forward,Brescia,€5.50m,in,Summer,5.5,Serie A,2021,2021/2022,119
382,26543,UC Sampdoria,Antonio Candreva,34,Right Midfield,Inter,€2.50m,in,Summer,2.5,Serie A,2021,2021/2022,82
383,26544,UC Sampdoria,Francesco Caputo,34,Centre-Forward,Sassuolo,Loan fee:€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
384,26546,UC Sampdoria,Lorenzo Campaner,18,Centre-Back,Sangiovannese,€7Th.,in,Summer,0.007,Serie A,2021,2021/2022,1
385,26583,Hellas Verona,Ivan Ilić,20,Central Midfield,Man City U23,€7.50m,in,Summer,7.5,Serie A,2021,2021/2022,136
386,26584,Hellas Verona,Mert Cetin,24,Centre-Back,AS Roma,€7.00m,in,Summer,7,Serie A,2021,2021/2022,133
387,26585,Hellas Verona,Kevin Lasagna,28,Centre-Forward,Udinese Calcio,€6.50m,in,Summer,6.5,Serie A,2021,2021/2022,129
388,26586,Hellas Verona,Antonin Barak,26,Attacking Midfield,Udinese Calcio,€6.00m,in,Summer,6,Serie A,2021,2021/2022,125
389,26587,Hellas Verona,Giangiacomo Magnani,25,Centre-Back,Sassuolo,€4.00m,in,Summer,4,Serie A,2021,2021/2022,108
390,26588,Hellas Verona,Federico Ceccherini,29,Centre-Back,Fiorentina,€3.00m,in,Summer,3,Serie A,2021,2021/2022,90
391,26589,Hellas Verona,Matteo Cancellieri,19,Right Winger,Roma U19,€2.50m,in,Summer,2.5,Serie A,2021,2021/2022,82
392,26590,Hellas Verona,Giovanni Simeone,26,Centre-Forward,Cagliari Calcio,Loan fee:€1.50m,in,Summer,1.5,Serie A,2021,2021/2022,62
393,26591,Hellas Verona,Martin Hongla,23,Defensive Midfield,Royal Antwerp,Loan fee:€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
394,26592,Hellas Verona,Gianluca Caprari,28,Second Striker,Sampdoria,Loan fee:€300Th.,in,Summer,0.3,Serie A,2021,2021/2022,12
395,26633,Genoa CFC,Hernani,27,Central Midfield,Parma,€5.50m,in,Summer,5.5,Serie A,2021,2021/2022,119
396,26634,Genoa CFC,Lennart Czyborra,22,Left-Back,Atalanta BC,€5.50m,in,Summer,5.5,Serie A,2021,2021/2022,119
397,26635,Genoa CFC,Abdoulaye Touré,27,Defensive Midfield,FC Nantes,€3.50m,in,Summer,3.5,Serie A,2021,2021/2022,101
398,26636,Genoa CFC,Alessandro Vogliacco,22,Centre-Back,Pordenone,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
399,26637,Genoa CFC,Felipe Caicedo,32,Centre-Forward,Lazio,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
400,26638,Genoa CFC,Alberto Paleari,28,Goalkeeper,Cittadella,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
401,26639,Genoa CFC,Caleb Ekuban,27,Centre-Forward,Trabzonspor,€1.80m,in,Summer,1.8,Serie A,2021,2021/2022,67
402,26640,Genoa CFC,Johan Vásquez,22,Centre-Back,UNAM Pumas,Loan fee:€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
403,26701,Bologna FC 1909,Musa Barrow,22,Left Winger,Atalanta BC,€14.50m,in,Summer,14.5,Serie A,2021,2021/2022,149
404,26702,Bologna FC 1909,Kevin Bonifazi,25,Centre-Back,SPAL,€6.00m,in,Summer,6,Serie A,2021,2021/2022,125
405,26703,Bologna FC 1909,Marko Arnautovic,32,Centre-Forward,SH Port,€3.00m,in,Summer,3,Serie A,2021,2021/2022,90
406,26704,Bologna FC 1909,Adama Soumaoro,29,Centre-Back,LOSC Lille,€2.50m,in,Summer,2.5,Serie A,2021,2021/2022,82
407,26705,Bologna FC 1909,Sydney van Hooijdonk,21,Centre-Forward,NAC Breda,€410Th.,in,Summer,0.41,Serie A,2021,2021/2022,17
408,26737,Udinese Calcio,Lazar Samardzic,19,Attacking Midfield,RB Leipzig,€3.00m,in,Summer,3,Serie A,2021,2021/2022,90
409,26738,Udinese Calcio,Marco Silvestri,30,Goalkeeper,Hellas Verona,€2.50m,in,Summer,2.5,Serie A,2021,2021/2022,82
410,26739,Udinese Calcio,Brandon Soppy,19,Right-Back,Stade Rennais,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
411,26740,Udinese Calcio,Isaac Success,25,Centre-Forward,Watford,€1.80m,in,Summer,1.8,Serie A,2021,2021/2022,67
412,26771,ACF Fiorentina,Nicolás González,23,Left Winger,VfB Stuttgart,€24.50m,in,Summer,24.5,Serie A,2021,2021/2022,157
413,26772,ACF Fiorentina,Igor,23,Centre-Back,SPAL,€5.30m,in,Summer,5.3,Serie A,2021,2021/2022,115
414,26773,ACF Fiorentina,Lucas Torreira,25,Defensive Midfield,Arsenal,Loan fee:€1.50m,in,Summer,1.5,Serie A,2021,2021/2022,62
415,26774,ACF Fiorentina,Matija Nastasić,28,Centre-Back,FC Schalke 04,€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
416,26810,Spezia Calcio,Janis Antiste,19,Centre-Forward,Toulouse,€4.60m,in,Summer,4.6,Serie A,2021,2021/2022,111
417,26811,Spezia Calcio,Kelvin Amian,23,Right-Back,Toulouse,€3.20m,in,Summer,3.2,Serie A,2021,2021/2022,96
418,26812,Spezia Calcio,Dimitrios Nikolaou,22,Centre-Back,FC Empoli,€3.00m,in,Summer,3,Serie A,2021,2021/2022,90
419,26813,Spezia Calcio,Jakub Kiwior,21,Defensive Midfield,MSK Zilina,€2.20m,in,Summer,2.2,Serie A,2021,2021/2022,79
420,26814,Spezia Calcio,David Strelec,20,Centre-Forward,Slo. Bratislava,€1.80m,in,Summer,1.8,Serie A,2021,2021/2022,67
421,26815,Spezia Calcio,Samuel Mraz,24,Centre-Forward,FC Empoli,€1.60m,in,Summer,1.6,Serie A,2021,2021/2022,65
422,26816,Spezia Calcio,Léo Sena,25,Defensive Midfield,Atlético-MG,€1.25m,in,Summer,1.25,Serie A,2021,2021/2022,59
423,26817,Spezia Calcio,Aimar Sher,18,Central Midfield,Hammarby,€1.20m,in,Summer,1.2,Serie A,2021,2021/2022,57
424,26818,Spezia Calcio,Mikael Egill Ellertsson,19,Central Midfield,SPAL U19,€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
425,26819,Spezia Calcio,Emil Kornvig,21,Central Midfield,Lyngby BK,€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
426,26820,Spezia Calcio,Arkadiusz Reca,26,Left-Back,Atalanta BC,Loan fee:€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
427,26821,Spezia Calcio,Daniele Verde,25,Right Winger,AEK Athens,€600Th.,in,Summer,0.6,Serie A,2021,2021/2022,39
428,26822,Spezia Calcio,Ebrima Colley,21,Left Winger,Atalanta BC,Loan fee:€600Th.,in,Summer,0.6,Serie A,2021,2021/2022,39
429,26823,Spezia Calcio,Leandro Sanca,21,Right Winger,Braga B,€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
430,26824,Spezia Calcio,Suf Podgoreanu,19,Right Winger,Roma U19,€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
431,26825,Spezia Calcio,Martin Erlic,23,Centre-Back,Sassuolo,Loan fee:€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
432,26826,Spezia Calcio,Emil Holm,21,Right-Back,SönderjyskE,€300Th.,in,Summer,0.3,Serie A,2021,2021/2022,12
433,26827,Spezia Calcio,Rey Manaj,24,Centre-Forward,Barcelona,Loan fee:€300Th.,in,Summer,0.3,Serie A,2021,2021/2022,12
434,26828,Spezia Calcio,Kevin Agudelo,22,Right Winger,Genoa,Loan fee:€90Th.,in,Summer,0.09,Serie A,2021,2021/2022,3
435,26829,Spezia Calcio,Mehdi Bourabia,30,Central Midfield,Sassuolo,Loan fee:€75Th.,in,Summer,0.075,Serie A,2021,2021/2022,2
436,26881,Cagliari Calcio,Razvan Marin,25,Central Midfield,Ajax,€10.00m,in,Summer,10,Serie A,2021,2021/2022,141
437,26882,Cagliari Calcio,Gabriele Zappa,21,Right-Back,Pescara,€3.20m,in,Summer,3.2,Serie A,2021,2021/2022,96
438,26883,Cagliari Calcio,Boris Radunović,25,Goalkeeper,Atalanta BC,€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
439,26914,Torino FC,David Zima,20,Centre-Back,Slavia Prague,€5.90m,in,Summer,5.9,Serie A,2021,2021/2022,122
440,26915,Torino FC,Josip Brekalo,23,Left Winger,VfL Wolfsburg,Loan fee:€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
441,26916,Torino FC,Dennis Praet,27,Central Midfield,Leicester,Loan fee:€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
442,26917,Torino FC,Magnus Warming,21,Left Winger,Lyngby BK,€900Th.,in,Summer,0.9,Serie A,2021,2021/2022,44
443,26945,FC Empoli,Lorenzo Tonelli,31,Centre-Back,Sampdoria,€2.40m,in,Summer,2.4,Serie A,2021,2021/2022,80
444,26946,FC Empoli,Nicolas Haas,25,Central Midfield,Atalanta BC,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
445,26947,FC Empoli,Ardian Ismajli,24,Centre-Back,Spezia Calcio,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
446,26948,FC Empoli,Liam Henderson,25,Central Midfield,Lecce,€1.50m,in,Summer,1.5,Serie A,2021,2021/2022,62
447,26949,FC Empoli,Giovanni Crociata,23,Central Midfield,Crotone,€1.00m,in,Summer,1,Serie A,2021,2021/2022,50
448,26950,FC Empoli,Riccardo Fiamozzi,28,Right-Back,Lecce,€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
449,26951,FC Empoli,Sebastiano Luperto,24,Centre-Back,SSC Napoli,Loan fee:€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
450,26952,FC Empoli,Petar Stojanovic,25,Right-Back,Dinamo Zagreb,Loan fee:€300Th.,in,Summer,0.3,Serie A,2021,2021/2022,12
451,26996,US Salernitana 1919,Riccardo Gagliolo,31,Centre-Back,Parma,€2.00m,in,Summer,2,Serie A,2021,2021/2022,74
452,26997,US Salernitana 1919,Vincenzo Fiorillo,31,Goalkeeper,Pescara,€600Th.,in,Summer,0.6,Serie A,2021,2021/2022,39
453,26998,US Salernitana 1919,Simy,29,Centre-Forward,Crotone,Loan fee:€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
454,26999,US Salernitana 1919,Reda Boultam,23,Attacking Midfield,Triestina,€200Th.,in,Summer,0.2,Serie A,2021,2021/2022,6
455,27060,Venezia FC,Gianluca Busio,19,Central Midfield,Kansas City,€6.00m,in,Summer,6,Serie A,2021,2021/2022,125
456,27061,Venezia FC,Thomas Henry,26,Centre-Forward,OH Leuven,€5.50m,in,Summer,5.5,Serie A,2021,2021/2022,119
457,27062,Venezia FC,Tanner Tessmann,19,Central Midfield,Dallas,€3.64m,in,Summer,3.64,Serie A,2021,2021/2022,105
458,27063,Venezia FC,Arnór Sigurdsson,22,Attacking Midfield,CSKA Moscow,Loan fee:€800Th.,in,Summer,0.8,Serie A,2021,2021/2022,42
459,27064,Venezia FC,Ridgeciano Haps,28,Left-Back,Feyenoord,€500Th.,in,Summer,0.5,Serie A,2021,2021/2022,27
460,27065,Venezia FC,Sofian Kiyine,23,Central Midfield,Lazio,Loan fee:€400Th.,in,Summer,0.4,Serie A,2021,2021/2022,15
461,27066,Venezia FC,David Schnegg,22,Left-Back,LASK,€250Th.,in,Summer,0.25,Serie A,2021,2021/2022,8
462,27101,AC Milan,Marko Lazetić,18,Centre-Forward,Red Star,€4.00m,in,Winter,4,Serie A,2021,2021/2022,108
463,27108,Atalanta BC,Valentin Mihaila,21,Left Winger,Parma,Loan fee:€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
464,27121,Juventus FC,Dušan Vlahović,22,Centre-Forward,Fiorentina,€81.60m,in,Winter,81.6,Serie A,2021,2021/2022,161
465,27122,Juventus FC,Denis Zakaria,25,Defensive Midfield,Bor. M'gladbach,€8.60m,in,Winter,8.6,Serie A,2021,2021/2022,139
466,27123,Juventus FC,Federico Gatti,23,Centre-Back,Frosinone,€5.40m,in,Winter,5.4,Serie A,2021,2021/2022,116
467,27131,SSC Napoli,Axel Tuanzebe,24,Centre-Back,Man Utd,Loan fee:€600Th.,in,Winter,0.6,Serie A,2021,2021/2022,39
468,27137,SS Lazio,Jovane Cabral,23,Left Winger,Sporting CP,Loan fee:€300Th.,in,Winter,0.3,Serie A,2021,2021/2022,12
469,27150,AS Roma,Sérgio Oliveira,29,Central Midfield,FC Porto,Loan fee:€1.00m,in,Winter,1,Serie A,2021,2021/2022,50
470,27151,AS Roma,Ainsley Maitland-Niles,24,Right Midfield,Arsenal,Loan fee:€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
471,27160,US Sassuolo,Luca Moro,21,Centre-Forward,Padova,€3.00m,in,Winter,3,Serie A,2021,2021/2022,90
472,27161,US Sassuolo,Emil Konradsen Ceide,20,Left Winger,Rosenborg,Loan fee:€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
473,27169,UC Sampdoria,Vladyslav Supryaga,21,Centre-Forward,Dynamo Kyiv,Loan fee:€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
474,27195,Genoa CFC,Kelvin Yeboah,21,Centre-Forward,Sturm Graz,€6.50m,in,Winter,6.5,Serie A,2021,2021/2022,129
475,27196,Genoa CFC,Silvan Hefti,24,Right-Back,BSC Young Boys,€5.00m,in,Winter,5,Serie A,2021,2021/2022,113
476,27197,Genoa CFC,Morten Frendrup,20,Central Midfield,Bröndby IF,€3.70m,in,Winter,3.7,Serie A,2021,2021/2022,106
477,27198,Genoa CFC,Johan Vásquez,23,Centre-Back,UNAM Pumas,€3.50m,in,Winter,3.5,Serie A,2021,2021/2022,101
478,27199,Genoa CFC,Roberto Piccoli,20,Centre-Forward,Atalanta BC,Loan fee:€1.80m,in,Winter,1.8,Serie A,2021,2021/2022,67
479,27200,Genoa CFC,Albert Gudmundsson,24,Right Winger,AZ Alkmaar,€1.20m,in,Winter,1.2,Serie A,2021,2021/2022,57
480,27221,Bologna FC 1909,Denso Kasius,19,Right-Back,Utrecht U21,€3.00m,in,Winter,3,Serie A,2021,2021/2022,90
481,27238,ACF Fiorentina,Jonathan Ikoné,23,Right Winger,LOSC Lille,€14.00m,in,Winter,14,Serie A,2021,2021/2022,146
482,27239,ACF Fiorentina,Arthur Cabral,23,Centre-Forward,FC Basel,€14.00m,in,Winter,14,Serie A,2021,2021/2022,146
483,27249,Cagliari Calcio,Matteo Lovato,21,Centre-Back,Atalanta BC,Loan fee:€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
484,27250,Cagliari Calcio,Edoardo Goldaniga,28,Centre-Back,Sassuolo,€400Th.,in,Winter,0.4,Serie A,2021,2021/2022,15
485,27258,Torino FC,Demba Seck,20,Right Winger,SPAL,€3.50m,in,Winter,3.5,Serie A,2021,2021/2022,101
486,27259,Torino FC,Samuele Ricci,20,Defensive Midfield,FC Empoli,Loan fee:€1.00m,in,Winter,1,Serie A,2021,2021/2022,50
487,27279,US Salernitana 1919,Éderson,22,Central Midfield,Corinthians,€6.50m,in,Winter,6.5,Serie A,2021,2021/2022,129
488,27280,US Salernitana 1919,Simy,29,Centre-Forward,Crotone,€3.50m,in,Winter,3.5,Serie A,2021,2021/2022,101
489,27281,US Salernitana 1919,Mikael,22,Centre-Forward,Sport Recife,Loan fee:€800Th.,in,Winter,0.8,Serie A,2021,2021/2022,42
490,27282,US Salernitana 1919,Emil Bohinen,22,Central Midfield,CSKA Moscow,Loan fee:€250Th.,in,Winter,0.25,Serie A,2021,2021/2022,8
491,27301,Venezia FC,Michaël Cuisance,22,Central Midfield,Bayern Munich,€4.00m,in,Winter,4,Serie A,2021,2021/2022,108
492,27302,Venezia FC,Maximilian Ullmann,25,Left-Back,Rapid Vienna,€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
493,27303,Venezia FC,Jean-Pierre Nsame,28,Centre-Forward,BSC Young Boys,Loan fee:€500Th.,in,Winter,0.5,Serie A,2021,2021/2022,27
