,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
134,22628,Norwich City,Josh Sargent,21.0,Centre-Forward,Werder Bremen,€9.50m,in,Summer,9.5,Premier League,2021,2021/2022,43
135,22629,Norwich City,Ben Gibson,28.0,Centre-Back,Burnley,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41
136,22630,Norwich City,Dimitrios Giannoulis,25.0,Left-Back,PAOK Salonika,€7.50m,in,Summer,7.5,Premier League,2021,2021/2022,36
137,22631,Norwich City,Angus Gunn,25.0,Goalkeeper,Southampton,€5.85m,in,Summer,5.85,Premier League,2021,2021/2022,31
138,22632,Norwich City,Ozan Kabak,21.0,Centre-Back,FC Schalke 04,Loan fee:€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
139,22633,Norwich City,Pierre Lees-Melou,28.0,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,20
140,22634,Norwich City,Mathias Normann,25.0,Defensive Midfield,Rostov,Loan fee:€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
141,22676,Southampton FC,Adam Armstrong,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69
142,22677,Southampton FC,Romain Perraud,23.0,Left-Back,Stade Brestois,€12.00m,in,Summer,12.0,Premier League,2021,2021/2022,53
143,22678,Southampton FC,Lyanco,24.0,Centre-Back,Torino,€7.50m,in,Summer,7.5,Premier League,2021,2021/2022,36
144,22679,Southampton FC,Tino Livramento,18.0,Right-Back,Chelsea U23,€5.90m,in,Summer,5.9,Premier League,2021,2021/2022,32
145,22697,Tottenham Hotspur,Emerson Royal,22.0,Right-Back,Barcelona,€25.00m,in,Summer,25.0,Premier League,2021,2021/2022,77
146,22698,Tottenham Hotspur,Bryan Gil,20.0,Left Winger,Sevilla FC,€25.00m,in,Summer,25.0,Premier League,2021,2021/2022,77
147,22699,Tottenham Hotspur,Pape Matar Sarr,18.0,Central Midfield,FC Metz,€16.90m,in,Summer,16.9,Premier League,2021,2021/2022,63
148,22721,Watford FC,Imrân Louza,22.0,Central Midfield,FC Nantes,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
149,22722,Watford FC,Emmanuel Dennis,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
150,22723,Watford FC,Moussa Sissoko,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18
151,22724,Watford FC,Ozan Tufan,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
152,22725,Watford FC,Mattie Pollock,19.0,Centre-Back,Grimsby Town,€300Th.,in,Summer,0.3,Premier League,2021,2021/2022,1
153,22767,West Ham United,Kurt Zouma,26.0,Centre-Back,Chelsea,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
154,22768,West Ham United,Nikola Vlasic,23.0,Attacking Midfield,CSKA Moscow,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
155,22769,West Ham United,Alex Kral,23.0,Defensive Midfield,Spartak Moscow,Loan fee:€5.20m,in,Summer,5.2,Premier League,2021,2021/2022,29
156,22770,West Ham United,Craig Dawson,31.0,Centre-Back,Watford,€2.30m,in,Summer,2.3,Premier League,2021,2021/2022,13
157,22771,West Ham United,Alphonse Areola,28.0,Goalkeeper,Paris SG,Loan fee:€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
158,22781,Wolverhampton Wanderers,Rayan Aït-Nouri,20.0,Left-Back,Angers SCO,€11.10m,in,Summer,11.1,Premier League,2021,2021/2022,52
159,22782,Wolverhampton Wanderers,José Sá,28.0,Goalkeeper,Olympiacos,€8.00m,in,Summer,8.0,Premier League,2021,2021/2022,39
160,22783,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33
161,22784,Wolverhampton Wanderers,Yerson Mosquera,20.0,Centre-Back,Atl. Nacional,€5.20m,in,Summer,5.2,Premier League,2021,2021/2022,29
162,22785,Wolverhampton Wanderers,Bendegúz Bolla,21.0,Right-Back,Fehérvár,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
