,player,value,Unnamed: 0,index,club_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id,Squad,Normal,Scaled,Normalized,total
28,Junior Firpo,0.21983626985073243,120,22496,Leeds United,24.0,Left-Back,Barcelona,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58,Leeds United,-8,1,0.024,0.24383626985073242
29,Kristoffer Ajer,0.22171487893045283,99,22340,Brentford FC,23.0,Centre-Back,Celtic,€15.70m,in,Summer,15.7,Premier League,2021,2021/2022,61,Brentford FC,1,10,0.252,0.47371487893045283
30,Kristoffer Klaesson,0.008159794928032723,122,22498,Leeds United,20.0,Goalkeeper,Vålerenga,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10,Leeds United,-8,1,0.024,0.032159794928032726
31,Kurt Zouma,0.2223448682061345,153,22767,West Ham United,26.0,Centre-Back,Chelsea,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89,West Ham United,-1,8,0.2,0.4223448682061345
32,Leon Bailey,0.09610073989620074,97,22316,Aston Villa,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88,Aston Villa,-3,6,0.15200000000000002,0.24810073989620077
33,Lyanco,0.12919371289135562,143,22678,Southampton FC,24.0,Centre-Back,Torino,€7.50m,in,Summer,7.5,Premier League,2021,2021/2022,36,Southampton FC,0,9,0.22400000000000003,0.35319371289135565
34,Marc Cucurella,0.4796001102113563,104,22362,Brighton & Hove Albion,23.0,Left-Back,Getafe,€18.00m,in,Summer,18.0,Premier League,2021,2021/2022,70,Brighton & Hove Albion,7,16,0.4,0.8796001102113563
35,Marc Guéhi,0.33627772470550443,113,22452,Crystal Palace,21.0,Centre-Back,Chelsea U23,€23.34m,in,Summer,23.34,Premier League,2021,2021/2022,75,Crystal Palace,2,11,0.27599999999999997,0.6122777247055045
36,Martin Ødegaard,0.42537256880837043,91,22293,Arsenal FC,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89,Arsenal FC,3,12,0.30000000000000004,0.7253725688083705
37,Mathias Normann,0.167811836246995,140,22634,Norwich City,25.0,Defensive Midfield,Rostov,Loan fee:€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10,Norwich City,-9,0,0.0,0.167811836246995
38,Maxwel Cornet,0.17995479828554406,108,22400,Burnley FC,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58,Burnley FC,-9,0,0.0,0.17995479828554406
39,Michael Olise,0.1949337907727216,116,22455,Crystal Palace,19.0,Right Midfield,Reading,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41,Crystal Palace,2,11,0.27599999999999997,0.47093379077272157
40,Milot Rashica,0.24686523985839515,133,22627,Norwich City,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49,Norwich City,-9,0,0.0,0.24686523985839515
41,Moussa Sissoko,0.32893499683832766,150,22723,Watford FC,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18,Watford FC,-9,0,0.0,0.32893499683832766
42,Nathan Collins,0.2300726429851044,109,22401,Burnley FC,20.0,Centre-Back,Stoke City,€14.00m,in,Summer,14.0,Premier League,2021,2021/2022,55,Burnley FC,-9,0,0.0,0.2300726429851044
43,Nuno Tavares,0.13605491681802323,95,22297,Arsenal FC,21.0,Left-Back,Benfica,€8.00m,in,Summer,8.0,Premier League,2021,2021/2022,39,Arsenal FC,3,12,0.30000000000000004,0.4360549168180233
44,Ozan Kabak,0.10446305706456686,138,22632,Norwich City,21.0,Centre-Back,FC Schalke 04,Loan fee:€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22,Norwich City,-9,0,0.0,0.10446305706456686
45,Ozan Tufan,0.02851759377827835,151,22724,Watford FC,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3,Watford FC,-9,0,0.0,0.02851759377827835
46,Patson Daka,0.14838921896517807,123,22519,Leicester City,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85,Leicester City,-3,6,0.15200000000000002,0.3003892189651781
47,Pierre Lees-Melou,0.2865183035097901,139,22633,Norwich City,28.0,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,20,Norwich City,-9,0,0.0,0.2865183035097901
48,Raphaël Varane,0.21458986355915785,129,22587,Manchester United,28.0,Centre-Back,Real Madrid,€40.00m,in,Summer,40.0,Premier League,2021,2021/2022,92,Manchester United,-4,5,0.124,0.3385898635591579
49,Romain Perraud,0.18889663478331883,142,22677,Southampton FC,23.0,Left-Back,Stade Brestois,€12.00m,in,Summer,12.0,Premier League,2021,2021/2022,53,Southampton FC,0,9,0.22400000000000003,0.41289663478331884
50,Romelu Lukaku,0.1712634564237291,111,22411,Chelsea FC,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98,Chelsea FC,1,10,0.252,0.4232634564237291
51,Saúl Ñíguez,0.0631765118182873,112,22412,Chelsea FC,26.0,Central Midfield,Atlético Madrid,Loan fee:€5.00m,in,Summer,5.0,Premier League,2021,2021/2022,26,Chelsea FC,1,10,0.252,0.3151765118182873
52,Takehiro Tomiyasu,0.19972555581798718,93,22295,Arsenal FC,22.0,Right-Back,Bologna,€18.60m,in,Summer,18.6,Premier League,2021,2021/2022,71,Arsenal FC,3,12,0.30000000000000004,0.4997255558179872
53,Will Hughes,0.12217700283989105,117,22456,Crystal Palace,26.0,Central Midfield,Watford,€7.00m,in,Summer,7.0,Premier League,2021,2021/2022,34,Crystal Palace,2,11,0.27599999999999997,0.398177002839891
54,Yoane Wissa,0.12088862013384828,100,22341,Brentford FC,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45,Brentford FC,1,10,0.252,0.37288862013384827
55,Álvaro Fernández,0.12953027166776104,102,22343,Brentford FC,23.0,Goalkeeper,SD Huesca,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3,Brentford FC,1,10,0.252,0.38153027166776105
