"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"Japhet Tanganga","Tottenham",8.2,"DF",0,0,0,3,41,10,18,2,36,45,30,19,3,502,NULL,NULL,NULL,NULL,NULL
"Jarrad Branthwaite","Everton",4.3,"DF",1,0,0,0,23,0,7,0,16,17,16,13,1,154,NULL,NULL,NULL,NULL,NULL
"Jarrod Bowen","West Ham",33.1,"FW",12,10,21,95,176,57,53,42,119,111,8,40,27,1276,NULL,NULL,NULL,NULL,NULL
"Jason Steele","Brighton",1,"GK",0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,1,0
"Javier Manquillo","Newcastle Utd",14,"DF",1,2,4,9,50,10,17,4,56,75,29,16,8,552,NULL,NULL,NULL,NULL,NULL
"Jay Rodriguez","Burnley",15.4,"FW",2,2,3,24,106,8,18,12,70,41,12,61,11,491,NULL,NULL,NULL,NULL,NULL
"Jean-Philippe Gbamin","Everton",0.7,"MF",0,0,0,0,3,0,0,0,7,1,1,1,1,28,NULL,NULL,NULL,NULL,NULL
"Jean-Philippe Mateta","Crystal Palace",12.7,"FW",5,1,2,18,78,9,4,7,51,21,15,42,15,388,NULL,NULL,NULL,NULL,NULL
"Jed Steer","Aston Villa",1,"GK",0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,5,1,1
"Jeff Hendrick","Newcastle Utd",0.8,"MF",1,0,0,1,5,0,1,1,2,1,1,1,1,32,NULL,NULL,NULL,NULL,NULL
"Jeffrey Schlupp","Crystal Palace",20.6,"MFFW",4,1,5,41,129,19,49,19,122,99,33,40,27,974,NULL,NULL,NULL,NULL,NULL
"Jeremy Ngakia","Watford",10,"DF",0,0,1,12,72,18,31,4,55,66,20,19,10,553,NULL,NULL,NULL,NULL,NULL
"Jeremy Sarmiento","Brighton",0.5,"FWMF",0,0,0,0,5,0,1,0,7,5,0,1,1,35,NULL,NULL,NULL,NULL,NULL
"Jesse Lingard","Manchester Utd",4.1,"FWMF",2,0,1,15,14,8,9,8,28,13,1,0,2,203,NULL,NULL,NULL,NULL,NULL
"Jesuran Rak Sakyi","Crystal Palace",0.9,"FWMF",0,0,0,0,17,1,1,0,2,5,0,0,0,41,NULL,NULL,NULL,NULL,NULL
"Joachim Andersen","Crystal Palace",32.4,"DF",0,3,5,33,186,14,93,19,58,124,156,84,6,2506,NULL,NULL,NULL,NULL,NULL
"João Cancelo","Manchester City",35.9,"DF",1,7,16,103,295,103,274,39,119,174,56,49,53,3714,NULL,NULL,NULL,NULL,NULL
"João Moutinho","Wolves",33,"MF",2,1,4,68,337,32,138,38,186,154,35,18,17,2259,NULL,NULL,NULL,NULL,NULL
"João Pedro","Watford",18.3,"FWMF",3,1,4,49,160,25,56,17,108,64,18,62,51,908,NULL,NULL,NULL,NULL,NULL
"Joe Gelhardt","Leeds United",8.3,"FWMF",2,2,6,22,39,5,17,9,68,18,3,8,14,290,NULL,NULL,NULL,NULL,NULL
"Joe Gomez","Liverpool",3.7,"DF",0,1,2,8,36,17,28,3,16,19,8,13,4,325,NULL,NULL,NULL,NULL,NULL
"Joe Rodon","Tottenham",1,"DF",0,0,0,0,4,0,0,0,3,5,8,4,0,44,NULL,NULL,NULL,NULL,NULL
"Joe Willock","Newcastle Utd",22.6,"MF",2,0,4,46,117,13,37,16,118,112,16,19,30,842,NULL,NULL,NULL,NULL,NULL
"Joël Matip","Liverpool",31,"DF",3,3,9,34,237,0,157,11,89,140,121,120,13,2549,NULL,NULL,NULL,NULL,NULL
"Joël Veltman","Brighton",31.9,"DF",1,1,2,36,197,30,115,16,110,172,97,69,14,2218,NULL,NULL,NULL,NULL,NULL
"Joel Ward","Crystal Palace",27.6,"DF",0,0,3,17,210,30,85,7,84,135,102,80,17,2019,NULL,NULL,NULL,NULL,NULL
"Joelinton","Newcastle Utd",28.4,"MFFW",4,1,6,64,300,18,67,28,163,159,47,106,33,1399,NULL,NULL,NULL,NULL,NULL
"Jóhann Berg Guðmundsson","Burnley",12.2,"MF",0,1,2,19,77,42,13,6,44,44,21,21,14,492,NULL,NULL,NULL,NULL,NULL
"John McGinn","Aston Villa",34.3,"MF",3,4,5,96,193,57,166,53,174,174,38,22,41,1752,NULL,NULL,NULL,NULL,NULL
"John Ruddy","Wolves",1.5,"GK",0,0,0,0,4,0,0,0,0,0,0,0,0,36,4,0,3,0,1
